date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-08,20220708093500000,sh.600000,7.9000,7.9000,7.8800,7.9000,1077500,8506949.0000,3
2022-07-08,20220708094000000,sh.600000,7.8900,7.9000,7.8800,7.8900,392900,3100203.0000,3
2022-07-08,20220708094500000,sh.600000,7.8800,7.8900,7.8800,7.8800,178815,1409941.0000,3
2022-07-08,20220708095000000,sh.600000,7.8800,7.8900,7.8800,7.8800,144300,1137810.0000,3
2022-07-08,20220708095500000,sh.600000,7.8900,7.8900,7.8800,7.8800,504700,3977816.0000,3
2022-07-08,20220708100000000,sh.600000,7.8900,7.8900,7.8700,7.8800,339285,2673338.0000,3
2022-07-08,20220708100500000,sh.600000,7.8800,7.8900,7.8700,7.8900,314675,2478792.0000,3
2022-07-08,20220708101000000,sh.600000,7.8900,7.8900,7.8800,7.8800,93100,733928.0000,3
2022-07-08,20220708101500000,sh.600000,7.8800,7.8900,7.8800,7.8800,163917,1292486.0000,3
2022-07-08,20220708102000000,sh.600000,7.8800,7.8900,7.8800,7.8800,259700,2047334.0000,3
2022-07-08,20220708102500000,sh.600000,7.8800,7.8900,7.8800,7.8900,167500,1321143.0000,3
2022-07-08,20220708103000000,sh.600000,7.8900,7.9000,7.8800,7.9000,521100,4111666.0000,3
2022-07-08,20220708103500000,sh.600000,7.9000,7.9000,7.8900,7.8900,542600,4285813.0000,3
2022-07-08,20220708104000000,sh.600000,7.8900,7.9000,7.8900,7.8900,118900,938848.0000,3
2022-07-08,20220708104500000,sh.600000,7.9000,7.9000,7.8900,7.8900,173100,1366574.0000,3
2022-07-08,20220708105000000,sh.600000,7.8900,7.9000,7.8900,7.9000,178800,1410936.0000,3
2022-07-08,20220708105500000,sh.600000,7.9000,7.9000,7.8800,7.8900,411200,3245018.0000,3
2022-07-08,20220708110000000,sh.600000,7.8900,7.8900,7.8800,7.8800,186900,1474101.0000,3
2022-07-08,20220708110500000,sh.600000,7.8800,7.8900,7.8800,7.8900,172800,1362362.0000,3
2022-07-08,20220708111000000,sh.600000,7.8900,7.8900,7.8800,7.8900,72600,572544.0000,3
2022-07-08,20220708111500000,sh.600000,7.8900,7.8900,7.8800,7.8900,247800,1955109.0000,3
2022-07-08,20220708112000000,sh.600000,7.8900,7.9000,7.8800,7.8900,429900,3392761.0000,3
2022-07-08,20220708112500000,sh.600000,7.8900,7.9000,7.8900,7.9000,51000,402791.0000,3
2022-07-08,20220708113000000,sh.600000,7.9000,7.9000,7.8900,7.8900,123143,972813.0000,3
2022-07-08,20220708130500000,sh.600000,7.8900,7.9000,7.8900,7.9000,311900,2463117.0000,3
